,language,title,description,categories,guided,completed
0,Python,The Hottest Topics in Machine Learning,Use Natural Language Processing on NIPS papers to uncover the trendiest topics in machine learning research.,"['Data Manipulation', 'Data Visualization', 'Machine Learning', 'Probability & Statistics', 'Importing & Cleaning Data']",guided,0
1,SQL,Analyzing Unicorn Companies,Use skills gained in Intermediate SQL to find out how many companies reached a valuation of over $1 billion across different industries between 2019 and 2021!,"['Importing & Cleaning Data', 'Case Studies']",unguided,0
2,SQL,Analyze International Debt Statistics,Write SQL queries to answer interesting questions about international debt using data from The World Bank.,"['Data Manipulation', 'Importing & Cleaning Data']",guided,0
3,SQL,Analyzing NYC Public School Test Result Scores,Use summary statistics and filters to analyze test scores across New York City's public schools!,"['Data Manipulation', 'Programming']",guided,0
4,SQL,Optimizing Online Sports Retail Revenue,Analyze product data for an online sports retail company to optimize revenue. ,['Data Manipulation'],guided,0
5,Python,What and Where are the World's Oldest Businesses,Use joining techniques to discover the oldest businesses in the world.,['Data Manipulation'],guided,0
6,SQL,What and Where are the World's Oldest Businesses,Use joining techniques to discover the oldest businesses in the world.,['Data Manipulation'],guided,0
7,SQL,Analyzing American Baby Name Trends,Use categorization and ranking techniques to explore 101 years of American baby name tastes.  ,['Data Manipulation'],guided,0
8,R,Introduction to DataCamp Projects,"If you've never done a DataCamp project, this is the place to start! ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
9,Python,Introduction to DataCamp Projects,"If you've never done a DataCamp project, this is the place to start! ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
10,SQL,Introduction to DataCamp Projects,"If you've never done a DataCamp project, this is the place to start! ","['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data', 'Case Studies']",guided,0
11,SQL,When Was the Golden Age of Video Games?,Use joins and set theory to discover the best years for video games!,['Data Manipulation'],guided,0
12,Python,Predicting Credit Card Approvals,Build a machine learning model to predict if a credit card application will get approved. ,"['Data Manipulation', 'Machine Learning', 'Importing & Cleaning Data', 'Applied Finance']",guided,0
13,R,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",guided,0
14,R,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",unguided,0
15,Python,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",guided,0
16,Python,Dr. Semmelweis and the Discovery of Handwashing,Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing.,"['Data Manipulation', 'Data Visualization', 'Probability & Statistics', 'Importing & Cleaning Data', 'Case Studies']",unguided,0
17,R,A Visual History of Nobel Prize Winners,Explore a dataset from Kaggle containing a century's worth of Nobel Laureates. Who won? Who got snubbed?,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
18,Python,A Visual History of Nobel Prize Winners,Explore a dataset from Kaggle containing a century's worth of Nobel Laureates. Who won? Who got snubbed?,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
19,Python,Writing Functions for Product Analysis,Use coding best practices and functions to improve a script!,['Programming'],guided,0
20,Python,The GitHub History of the Scala Language,Find the true Scala experts by exploring its development history in Git and GitHub.,"['Data Manipulation', 'Data Visualization', 'Importing & Cleaning Data']",guided,0
